CTEcode,Year,Enrollment
AAVC,2017,6487
AGNR,2017,20380
ARCH,2017,11167
BMA,2017,10469
EDUC,2017,18
FINA,2017,1826
HLTH,2017,17184
HOSP,2017,16070
HUMA,2017,1924
INFO,2017,9692
LAW,2017,3345
MANU,2017,4615
MRKT,2017,5412
STEM,2017,10898
TRAN,2017,3751
AAVC,2018,2560
AGNR,2018,9156
ARCH,2018,4693
BMA,2018,3434
EDUC,2018,14
FINA,2018,570
HLTH,2018,7263
HOSP,2018,5897
HUMA,2018,1097
INFO,2018,3906
LAW,2018,1130
MANU,2018,1750
MRKT,2018,1246
STEM,2018,2602
TRAN,2018,1534
AAVC,2019,3176
AGNR,2019,10433
ARCH,2019,5301
BMA,2019,4169
EDUC,2019,113
FINA,2019,577
HLTH,2019,8789
HOSP,2019,7734
HUMA,2019,1208
INFO,2019,4656
LAW,2019,1189
MANU,2019,1954
MRKT,2019,1673
STEM,2019,3345
TRAN,2019,1770
AAVC,2020,22685
AGNR,2020,31148
ARCH,2020,25541
BMA,2020,1663
EDUC,2020,613
FINA,2020,1911
HLTH,2020,64229
HOSP,2020,23384
HUMA,2020,40920
INFO,2020,8604
LAW,2020,7095
MANU,2020,8251
MRKT,2020,2993
STEM,2020,20607
TRAN,2020,6090
AAVC,2021,9923
AGNR,2021,12650
ARCH,2021,10333
BMA,2021,2922
EDUC,2021,253
FINA,2021,892
HLTH,2021,19971
HOSP,2021,8770
HUMA,2021,18149
INFO,2021,3511
LAW,2021,3950
MANU,2021,3422
MRKT,2021,2271
STEM,2021,7926
TRAN,2021,2867
AAVC,2022,10809
AGNR,2022,14184
ARCH,2022,10483
BMA,2022,5688
EDUC,2022,254
FINA,2022,1238
GOVT,2022,2
HLTH,2022,18108
HOSP,2022,10048
HUMA,2022,17077
INFO,2022,5005
LAW,2022,4311
MANU,2022,4678
MRKT,2022,3011
STEM,2022,8386
TRAN,2022,3385
