North Carolina,2020,2020Estimate,2021Estimate,2022Estimate
".Alamance County","171,429","171,954","173,876","176,353"
".Alexander County","36,440","36,482","36,467","36,512"
".Alleghany County","10,886","10,897","11,066","11,185"
".Anson County","22,052","22,033","22,254","22,202"
".Ashe County","26,581","26,580","26,764","27,110"
".Avery County","17,812","17,848","17,502","17,571"
".Beaufort County","44,658","44,690","44,438","44,272"
".Bertie County","17,934","17,862","17,425","17,240"
".Bladen County","29,617","29,629","29,565","29,446"
".Brunswick County","136,694","138,157","144,814","153,064"
".Buncombe County","269,446","269,694","271,719","273,589"
".Burke County","87,573","87,577","87,634","87,881"
".Cabarrus County","225,807","227,214","231,726","235,797"
".Caldwell County","80,664","80,632","80,561","80,492"
".Camden County","10,357","10,407","10,816","11,088"
".Carteret County","67,686","67,724","68,718","69,380"
".Caswell County","22,738","22,699","22,701","22,614"
".Catawba County","160,609","160,892","161,821","163,462"
".Chatham County","76,270","76,670","78,111","79,864"
".Cherokee County","28,769","28,858","29,195","29,512"
".Chowan County","13,705","13,701","13,791","13,940"
".Clay County","11,085","11,142","11,350","11,614"
".Cleveland County","99,521","99,799","100,318","100,670"
".Columbus County","50,625","50,487","49,953","49,885"
".Craven County","100,718","100,646","100,277","100,874"
".Cumberland County","334,728","334,391","337,249","336,699"
".Currituck County","28,103","28,401","29,714","31,015"
".Dare County","36,910","37,032","37,889","37,956"
".Davidson County","168,933","169,196","170,794","172,586"
".Davie County","42,715","42,895","43,614","44,090"
".Duplin County","48,705","48,657","48,606","48,990"
".Durham County","324,849","325,561","329,699","332,680"
".Edgecombe County","48,897","48,777","48,370","48,301"
".Forsyth County","382,584","383,166","386,172","389,157"
".Franklin County","68,578","69,115","71,798","74,539"
".Gaston County","227,942","228,514","231,337","234,215"
".Gates County","10,475","10,448","10,403","10,383"
".Graham County","8,029","8,035","8,008","7,980"
".Granville County","61,001","61,060","61,408","61,903"
".Greene County","20,449","20,440","20,261","20,211"
".Guilford County","541,309","539,498","542,756","546,101"
".Halifax County","48,622","48,521","48,377","47,848"
".Harnett County","133,554","133,779","135,669","138,832"
".Haywood County","62,097","62,223","62,504","62,609"
".Henderson County","116,279","116,541","116,988","118,106"
".Hertford County","21,552","21,470","21,172","20,875"
".Hoke County","52,081","52,240","53,235","53,787"
".Hyde County","4,587","4,551","4,625","4,576"
".Iredell County","186,699","187,683","192,227","195,897"
".Jackson County","43,107","42,231","42,520","42,955"
".Johnston County","215,991","217,787","227,313","234,778"
".Jones County","9,173","9,147","9,217","9,233"
".Lee County","63,281","63,428","64,097","65,476"
".Lenoir County","55,124","55,050","54,693","54,633"
".Lincoln County","86,816","87,206","89,870","93,095"
".McDowell County","44,577","44,580","44,586","44,753"
".Macon County","37,016","37,092","37,488","38,065"
".Madison County","21,192","21,228","21,645","21,768"
".Martin County","22,035","21,953","21,742","21,508"
".Mecklenburg County","1,115,526","1,116,788","1,125,809","1,145,392"
".Mitchell County","14,906","14,906","14,982","15,094"
".Montgomery County","25,752","25,719","25,853","25,894"
".Moore County","99,725","100,267","102,952","105,531"
".Nash County","94,967","95,148","95,227","95,789"
".New Hanover County","225,705","226,307","229,930","234,921"
".Northampton County","17,474","17,435","17,093","16,779"
".Onslow County","204,585","204,937","204,660","207,298"
".Orange County","148,707","143,583","148,610","150,477"
".Pamlico County","12,274","12,303","12,347","12,381"
".Pasquotank County","40,568","40,577","40,746","40,938"
".Pender County","60,208","60,642","63,072","65,737"
".Perquimans County","13,006","13,016","13,126","13,210"
".Person County","39,093","39,187","39,172","39,386"
".Pitt County","170,241","170,378","172,273","173,542"
".Polk County","19,330","19,383","19,691","19,986"
".Randolph County","144,151","144,418","145,109","146,043"
".Richmond County","42,953","42,916","42,842","42,778"
".Robeson County","116,516","116,305","116,229","116,663"
".Rockingham County","91,100","91,188","91,260","91,957"
".Rowan County","146,878","147,148","148,012","149,645"
".Rutherford County","64,444","64,479","64,618","64,963"
".Sampson County","59,040","59,078","59,080","59,120"
".Scotland County","34,180","34,141","34,175","34,162"
".Stanly County","62,506","62,638","63,108","64,153"
".Stokes County","44,523","44,565","44,641","45,175"
".Surry County","71,367","71,372","71,196","71,403"
".Swain County","14,115","14,099","14,149","13,967"
".Transylvania County","32,986","33,046","33,255","33,355"
".Tyrrell County","3,247","3,239","3,377","3,365"
".Union County","238,233","239,443","244,260","249,070"
".Vance County","42,570","42,535","42,103","42,138"
".Wake County","1,129,393","1,130,685","1,152,357","1,175,021"
".Warren County","18,642","18,598","18,791","18,713"
".Washington County","11,001","10,976","10,909","10,828"
".Watauga County","54,077","54,117","54,962","55,089"
".Wayne County","117,324","117,266","116,866","117,286"
".Wilkes County","65,968","65,904","65,818","65,784"
".Wilson County","78,786","78,807","78,283","78,449"
".Yadkin County","37,211","37,246","37,258","37,463"
".Yancey County","18,470","18,490","18,776","18,811"
